ACM	ACM certificates should not expire within 30 days	ACM certificates should have transparency logging enabled
ACM	Ensure that ACM certificates are not in failed state	ACM certificates should have transparency logging enabled
ACM	Ensure that ACM certificates are not in pending validation state	ACM certificates should not expire within 30 days
ACM	ACM certificates should not use wildcard certificates	ACM certificates should not use wildcard certificates
ACM	Ensure that all the expired ACM certificates are removed	Ensure that ACM certificates are not in failed state
ACM	ACM certificates should have transparency logging enabled	Ensure that ACM certificates are not in pending validation state
ACM	ACM certificates should not expire within 30 days	Ensure that all the expired ACM certificates are removed
ACM	Ensure that ACM certificates are not in failed state	
ACM	Ensure that ACM certificates are not in pending validation state	
ACM	ACM certificates should not use wildcard certificates	
ACM	Ensure that all the expired ACM certificates are removed	
ACM	ACM certificates should have transparency logging enabled	
Auto Scaling	EC2 auto scaling group launch configurations user data should not have any sensitive data	Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2)
Auto Scaling	EC2 auto scaling groups should cover multiple availability zones	Auto Scaling groups should not have any suspended processes
Auto Scaling	Auto Scaling groups should not have any suspended processes	Auto Scaling groups with a load balancer should use health checks
Auto Scaling	Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches	Auto Scaling launch config public IP should be disabled
Auto Scaling	EC2 Auto Scaling groups should use EC2 launch templates	EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1
Auto Scaling	Auto Scaling groups with a load balancer should use health checks	EC2 auto scaling group launch configurations user data should not have any sensitive data
Auto Scaling	EC2 auto scaling group launch configurations should not have metadata response hop limit greater than 1	EC2 auto scaling groups should cover multiple availability zones
Auto Scaling	Auto Scaling launch config public IP should be disabled	EC2 Auto Scaling groups should use EC2 launch templates
Auto Scaling	Auto Scaling group should configure EC2 instances to require Instance Metadata Service Version 2 (IMDSv2)	EC2 auto scaling groups should use multiple instance types in multiple availability zones
Auto Scaling	EC2 auto scaling groups should use multiple instance types in multiple availability zones	Ensure EC2 Auto Scaling Groups Propagate Tags to EC2 Instances that it launches
